,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
7657,34970929.0,Confortable y acogedor depto cerca de Zacatenco,263479607,Mirna,Gustavo A. Madero,19.50191,-99.12298,Entire home/apt,980.0,5.0,31.0,21/05/2022,0.83,1.0,323.0,7.0
7658,34749491.0,CUARTO AMUEBLADO VILLA COAPA,262063865,Israel,Tlalpan,19.29054,-99.12384,Private room,300.0,7.0,0.0,31/12/2022,1.5860325810283387,1.0,90.0,0.0
7659,34974252.0,Room near Carso,159407807,Nadia,Miguel Hidalgo,19.44383,-99.20417,Private_room,376.0,2.0,43.0,08/06/2022,1.15,1.0,64.0,27.0
7660,34749732.0,Habitaciones sÃºper cÃ³modas en fraccionamiento,262064360,Giovanni,CoyoacÃ¡n,19.32533,-99.11593,Private room,250.0,1.0,4.0,07/10/2021,0.14,1.0,324.0,1.0
7661,34976531.0,Departamento Be Grand Alto Pedregal,263517515,Carlos,CoyoacÃ¡n,19.30357,-99.17618,Entire home/apt,1500.0,1.0,4.0,01/02/2020,0.12,1.0,0.0,0.0
7662,35127973.0,Puedes tener las puertas abiertas sin  riesgo.,78508194,Fatima,Benito JuÃ¡rez,19.39107,-99.15165,Entire home/apt,3000.0,3.0,1.0,20/07/2019,0.03,1.0,0.0,0.0
7663,34750972.0,Hotel El Greco... habitaciÃ³n sencilla,261582867,Hotel El Greco,Benito JuÃ¡rez,19.38649,-99.1749,Hotel room,881.0,1.0,3.0,30/09/2021,0.08,3.0,180.0,1.0
7664,35128368.0,EL SOL â Huge Apartment in the Heart of Roma Norte,264595085,Alex,CuauhtÃ©moc,19.41755,-99.16329,Entire home/apt,1716.0,2.0,5.0,03/01/2020,0.15,1.0,0.0,0.0
7665,35129182.0,"New, top located appartment with private rooftop",25160583,Nicolas,CuauhtÃ©moc,19.43907,-99.16519,Entire home/apt,1095.0,3.0,9.0,01/03/2022,0.24,1.0,47.0,4.0
7666,35129259.0,HabitaciÃ³n ideal estudiantes y mÃ©dicos residentes,126116494,Amadeo,Tlalpan,19.30083,-99.13141,Private room,215.0,30.0,0.0,31/12/2022,1.5860325810283387,1.0,365.0,0.0
7667,35129639.0,Apartamento cÃ©ntrico en la CDMX,264606473,Elena,Ãlvaro ObregÃ³n,19.36429,-99.19333,Entire home/apt,900.0,1.0,27.0,02/10/2020,0.73,1.0,44.0,0.0
7668,35129666.0,Acogedor Mini Loft muy bien ubicado en zona centro,162472626,Angeles,CuauhtÃ©moc,19.43944,-99.15347,Private room,346.0,2.0,80.0,17/06/2022,2.16,4.0,86.0,39.0
7669,34978803.0,Vive CoyoacÃ¡n como si fuera tu propio barrio,54144104,Elisa,CoyoacÃ¡n,19.350765,-99.1605,Entire home/apt,1980.0,4.0,57.0,01/06/2022,1.59,1.0,210.0,23.0
7670,34979467.0,Are you Looking some room in MÃ©xico city?,198295509,AideÃ©,Iztapalapa,19.3652,-99.12592,Private room,452.0,3.0,1.0,11/01/2020,0.03,4.0,180.0,0.0
7671,34979525.0,Linda y cÃ³moda habitaciÃ³n cerca de Polanco.,263546807,Magy,Miguel Hidalgo,19.44596,-99.18709,Private room,600.0,1.0,0.0,31/12/2022,1.5860325810283387,1.0,0.0,0.0
7672,34751621.0,Casa de lujo con alberca cerca de Condesa y Roma,102255150,Marco Antonio,Benito JuÃ¡rez,19.39379,-99.16025,Entire home/apt,15000.0,2.0,5.0,02/05/2021,0.14,3.0,365.0,0.0
7673,34752204.0,Recamara amueblada.,260578297,Carolina,Azcapotzalco,19.48556,-99.19917,Private room,200.0,28.0,0.0,31/12/2022,1.5860325810283387,1.0,365.0,0.0
7674,34979558.0,Exquisite Penthouse with Terrace 2BR/2BA,89885503,Rene,CuauhtÃ©moc,19.42843,-99.15909,Entire home/apt,2250.0,1.0,36.0,18/06/2022,1.02,1.0,212.0,5.0
7675,35130366.0,CÃ³modo y tranquilo,20074257,SofÃ­a,Benito JuÃ¡rez,19.40108,-99.14757,Entire home/apt,1000.0,1.0,16.0,14/04/2022,0.46,2.0,156.0,5.0
7676,34752655.0,Departamento en zona bonita y tranquila.,241574115,Eric,CoyoacÃ¡n,19.34578,-99.13443,Entire home/apt,525.0,5.0,27.0,15/05/2022,0.73,2.0,88.0,9.0
7677,35132578.0,Departamento independiente,131061883,Lorena,Tlalpan,19.29425,-99.14501,Private room,400.0,1.0,108.0,29/05/2022,2.91,2.0,325.0,43.0
7678,34754192.0,Departamento acogedor en el corazÃ³n de la CDMX,150651184,Alexis,CuauhtÃ©moc,19.44434,-99.14102,Entire home/apt,457.0,5.0,73.0,26/05/2022,1.95,1.0,56.0,28.0
7679,35132607.0,Suite NY cocina/baÃ±o y entrada indep al sur DF,62178689,Rocio,CoyoacÃ¡n,19.31016,-99.11393,Entire home/apt,500.0,1.0,129.0,12/06/2022,3.47,8.0,357.0,45.0
7680,35149142.0,Comodo y moderno Departamento  Polanco-Lago Meru,53324057,Clara,Miguel Hidalgo,19.4407,-99.19021,Entire home/apt,900.0,5.0,15.0,16/04/2022,0.41,1.0,293.0,4.0
7681,34979594.0,Bonito departamento a 5 cuadras de Reforma,13505706,Claudia,CuauhtÃ©moc,19.43291,-99.16991,Entire home/apt,808.0,3.0,2.0,15/07/2019,0.05,1.0,0.0,0.0
7682,34754206.0,Deparomero,262103072,Alejandro,Venustiano Carranza,19.44449,-99.09861,Shared room,1500.0,1.0,0.0,31/12/2022,1.5860325810283387,1.0,364.0,0.0
7683,34982102.0,HabitaciÃ³n confortable en casa.,263249579,Martin,TlÃ¡huac,19.31145287,-99.04964447,Private room,204.0,2.0,0.0,31/12/2022,1.5860325810283387,1.0,356.0,0.0
7684,35001799.0,Classy cozy furnished apartment.,257686655,Luis,Miguel Hidalgo,19.44279,-99.20345,Entire home/apt,1500.0,20.0,0.0,31/12/2022,1.5860325810283387,3.0,365.0,0.0
7685,35002212.0,Mixcoac Departamento de lujo  amueblado equipado,120918514,Fernando,Benito JuÃ¡rez,19.36734,-99.17898,Entire home/apt,900.0,183.0,0.0,31/12/2022,1.5860325810283387,2.0,365.0,0.0
7686,35003403.0,"Bed in double room, hostel type in Casa Eufemia",262986020,Sara Y Oscar,CuauhtÃ©moc,19.42827,-99.13854,Shared room,251.0,1.0,21.0,16/03/2022,0.56,13.0,0.0,6.0
7687,35004257.0,Casa Eufemia Dormitorio Femenino 4 personas,262986020,Sara Y Oscar,CuauhtÃ©moc,19.42744,-99.13983,Shared room,263.0,1.0,3.0,01/03/2020,0.08,13.0,0.0,0.0
7688,35005114.0,Departamento en RÃ­o Sena dos pisos,191088490,Jorge,CuauhtÃ©moc,19.42898,-99.16973,Private room,990.0,2.0,1.0,25/05/2019,0.03,2.0,86.0,0.0
7689,35150800.0,Casita Camelias,35406378,MarÃ­a Isabel,Benito JuÃ¡rez,19.37819,-99.17233,Entire home/apt,500.0,2.0,75.0,10/06/2022,2.03,2.0,320.0,21.0
7690,35152421.0,HabitaciÃ³n privada WTC,64479716,Selene,Benito JuÃ¡rez,19.39342,-99.17677,Private room,850.0,2.0,10.0,28/02/2020,0.28,2.0,265.0,0.0
7691,35152732.0,Mascota 30 lugar Ãºnico y silencioso en el centro,3006126,Karla,CuauhtÃ©moc,19.42659,-99.1525,Private room,2827.0,1.0,0.0,31/12/2022,1.5860325810283387,4.0,179.0,0.0
7692,35154909.0,Perfect for Remote Work close to El Angel &Reforma,1795374,Miguel Angel & Romy,CuauhtÃ©moc,19.42828,-99.1693,Entire home/apt,1393.0,5.0,52.0,01/06/2022,1.45,3.0,322.0,19.0
7693,35156461.0,El Nido,50786360,Araceli,Azcapotzalco,19.46424,-99.15792,Entire home/apt,953.0,1.0,0.0,31/12/2022,1.5860325810283387,1.0,293.0,0.0
7694,34754704.0,Loft in the heart of Mexico city,63146908,Cecilia,CuauhtÃ©moc,19.42857,-99.16928,Entire home/apt,627.0,3.0,33.0,19/06/2022,2.23,1.0,269.0,30.0
